workerid,proliferate.condition,lamp_response,plant_response,video_1,video_1_correct_answer,video_1_response,video_2,video_2_correct_answer,video_2_response,video_3,video_3_correct_answer,video_3_response,video_4,video_4_correct_answer,video_4_response,video_5,video_5_correct_answer,video_5_response,video_6,video_6_correct_answer,video_6_response,error
276,exp4,Harry,Benji,bear,Connor,Connor,lightbulb,Jessie,Caleb,glass,Lucas,Emily,basketball,Charlie,Charlie,apple,Alex,Alex,rock,Amber,Amber,
289,exp4,Harry,Harry,rock,Amber,Billy,basketball,Noah,Noah,bear,Connor,Connor,glass,Lucas,Lucas,lightbulb,Caleb,Caleb,apple,Alex,Alex,
281,exp4,Harry,Benji,bear,Connor,Connor,glass,Lucas,Lucas,rock,Billy,Billy,basketball,Noah,Noah,lightbulb,Caleb,Caleb,apple,Lily,Lily,
284,exp4,Harry,Benji,lightbulb,Caleb,Caleb,glass,Lucas,Lucas,basketball,Noah,Noah,rock,Amber,Amber,bear,Vicky,Vicky,apple,Lily,Lily,
280,exp4,Harry,Benji,rock,Amber,Amber,bear,Connor,Connor,glass,Lucas,Lucas,apple,Lily,Lily,basketball,Charlie,Charlie,lightbulb,Jessie,Jessie,
298,exp4,Harry,Benji,apple,Alex,Alex,bear,Connor,Connor,basketball,Noah,Noah,glass,Emily,Emily,rock,Billy,Billy,lightbulb,Caleb,Caleb,
302,exp4,Harry,Benji,basketball,Noah,Noah,glass,Emily,Lucas,bear,Connor,Connor,apple,Alex,Alex,rock,Amber,Amber,lightbulb,Caleb,Caleb,
308,exp4,Harry,Benji,lightbulb,Jessie,Jessie,basketball,Noah,Noah,bear,Connor,Connor,glass,Emily,Emily,apple,Lily,Lily,rock,Billy,Billy,
288,exp4,Harry,Benji,rock,Billy,Billy,basketball,Noah,Noah,apple,Alex,Alex,glass,Emily,Emily,lightbulb,Caleb,Caleb,bear,Connor,Connor,
294,exp4,Harry,Benji,basketball,Noah,Noah,lightbulb,Jessie,Jessie,rock,Billy,Billy,bear,Connor,Connor,apple,Lily,Alex,glass,Lucas,Lucas,
296,exp4,Harry,Benji,apple,Alex,Alex,basketball,Charlie,Charlie,bear,Connor,Connor,lightbulb,Caleb,Caleb,rock,Amber,Amber,glass,Emily,Emily,
306,exp4,Harry,Benji,rock,Billy,Billy,apple,Alex,Alex,glass,Emily,Emily,lightbulb,Jessie,Jessie,basketball,Charlie,Charlie,bear,Vicky,Vicky,
279,exp4,Harry,Benji,rock,Billy,Billy,glass,Lucas,Emily,bear,Vicky,Vicky,apple,Alex,Alex,basketball,Charlie,Charlie,lightbulb,Caleb,Jessie,
285,exp4,Harry,Benji,rock,Amber,Amber,glass,Emily,Emily,lightbulb,Caleb,Caleb,basketball,Charlie,Charlie,apple,Alex,Lily,bear,Vicky,Vicky,
300,exp4,Harry,Benji,bear,Vicky,Connor,rock,Billy,Amber,basketball,Charlie,Charlie,apple,Lily,Lily,lightbulb,Caleb,Caleb,glass,Lucas,Lucas,
290,exp4,Harry,Benji,lightbulb,Jessie,Jessie,basketball,Charlie,Charlie,rock,Amber,Amber,apple,Alex,Alex,bear,Connor,Connor,glass,Lucas,Lucas,
286,exp4,Harry,Benji,bear,Connor,Connor,rock,Amber,Amber,basketball,Charlie,Charlie,apple,Lily,Lily,glass,Emily,Emily,lightbulb,Jessie,Jessie,
307,exp4,Harry,Harry,bear,Vicky,Vicky,rock,Amber,Amber,glass,Emily,Emily,apple,Alex,Alex,basketball,Noah,Noah,lightbulb,Caleb,Caleb,
303,exp4,Harry,Benji,glass,Lucas,Lucas,lightbulb,Caleb,Caleb,apple,Lily,Lily,basketball,Charlie,Charlie,bear,Connor,Connor,rock,Billy,Billy,
297,exp4,Harry,Benji,bear,Connor,Connor,lightbulb,Jessie,Jessie,apple,Lily,Lily,glass,Emily,Emily,basketball,Noah,Noah,rock,Amber,Amber,
292,exp4,Harry,Benji,glass,Lucas,Lucas,bear,Vicky,Vicky,apple,Lily,Lily,basketball,Charlie,Charlie,rock,Billy,Billy,lightbulb,Jessie,Jessie,
295,exp4,Harry,Benji,bear,Vicky,Vicky,apple,Lily,Lily,basketball,Charlie,Charlie,rock,Billy,Billy,glass,Lucas,Emily,lightbulb,Jessie,Jessie,
299,exp4,Harry,Benji,glass,Lucas,Emily,apple,Alex,Alex,bear,Vicky,Vicky,rock,Billy,Billy,lightbulb,Caleb,Caleb,basketball,Charlie,Charlie,
283,exp4,Harry,Benji,glass,Emily,Emily,lightbulb,Caleb,Caleb,bear,Vicky,Vicky,apple,Alex,Lily,basketball,Noah,Noah,rock,Billy,Billy,
293,exp4,Harry,Benji,apple,Alex,Alex,glass,Lucas,Emily,basketball,Charlie,Charlie,bear,Vicky,Vicky,rock,Billy,Billy,lightbulb,Caleb,Jessie,
305,exp4,Harry,Benji,basketball,Noah,Noah,rock,Amber,Amber,lightbulb,Jessie,Jessie,apple,Lily,Lily,bear,Connor,Connor,glass,Emily,Emily,
277,exp4,Harry,Benji,lightbulb,Jessie,Jessie,bear,Vicky,Vicky,glass,Lucas,Lucas,basketball,Charlie,Charlie,apple,Lily,Alex,rock,Amber,Amber,
301,exp4,Harry,Benji,basketball,Noah,Noah,apple,Alex,Alex,bear,Vicky,Vicky,lightbulb,Jessie,Jessie,rock,Billy,Billy,glass,Lucas,Lucas,
287,exp4,Harry,Benji,bear,Connor,Connor,lightbulb,Caleb,Caleb,glass,Emily,Emily,rock,Billy,Billy,basketball,Charlie,Noah,apple,Lily,Lily,
282,exp4,Harry,Benji,basketball,Charlie,Charlie,rock,Amber,Amber,apple,Alex,Alex,glass,Lucas,Lucas,lightbulb,Caleb,Caleb,bear,Vicky,Vicky,
291,exp4,Benji,Benji,basketball,Noah,Noah,glass,Emily,Lucas,lightbulb,Jessie,Jessie,rock,Amber,Amber,bear,Connor,Connor,apple,Alex,Alex,
